timestamp,ai_use,baseline_trust,comfort,selected_task,decision_confidence,ai_influence,trust_1,trust_2,trust_3,transparency_1,transparency_2,ux_1,ux_2,open_trust,open_explanation,open_improvement,condition_key
2026-05-31T18:27:26.562435-07:00,5,2,1,Organize Notes,2,2,2,1,3,6,1,2,3,,,,minimal_explanation
2026-05-31T21:41:43.277062-07:00,6,6,6,Draft Project Report,7,6,6,6,6,7,7,7,7,The advice AI gave just made sense and there was no need to correct it. ,"Helpful,","If you really want to know how much AI has an impact on people's decision making I would have asked the question first, then show AI's recommendation, and then ask if you would change your answer or keep it the same based on what AI said. ",transparent_explanation
2026-05-31T21:50:50.663039-07:00,4,4,4,Draft Project Report,7,2,6,4,4,7,7,7,4,The AI had sound reasoning to support its recommendation ,It felt helpful ,It would help to go through a few examples to demonstrate the versatility of the AI. ,uncertainty_calibrated
2026-05-31T22:22:57.495345-07:00,5,4,5,Draft Project Report,5,4,1,1,1,4,5,6,5,,,,high_confidence
2026-06-02T10:44:18.296014-07:00,6,5,7,Review Course Module,7,1,7,7,7,7,6,7,7,The ai singled out the most urgent task accurately. ,"The explanation was clear, coherent and accurate. ",adding condiitons to recommendations would make the experience more reliable.,high_confidence
2026-06-04T09:00:47.387333-07:00,4,3,1,Draft Project Report,6,6,3,4,4,5,5,5,4,,,,uncertainty_calibrated
2026-06-05T19:58:39.230101-07:00,7,2,5,Draft Project Report,7,1,6,2,2,3,3,2,1,"My baseline trust in the AI is very low, and I'd require more data before raising my level of trust in it.","The explanation felt excessive, going beyond the available data to extrapolate impact on productivity.",More data points.,transparent_explanation
2026-06-05T20:10:57.753203-07:00,3,2,1,Draft Project Report,7,1,7,7,7,7,7,7,1,,,,high_confidence
2026-06-05T20:10:03.856211-07:00,7,5,6,Draft Project Report,7,1,4,6,2,2,2,5,1,,,,uncertainty_calibrated
2026-06-05T20:14:12.531706-07:00,7,7,5,Draft Project Report,7,1,1,1,1,1,1,1,1,I’d never use AI in that situation,Irrelevant ,Nothing,transparent_explanation
2026-06-06T07:06:48.708648-07:00,7,5,6,Draft Project Report,6,5,5,3,4,4,2,4,5,The use of word “moderately” made it feel less trustworthy,"Felt redundant, not adding much insight ","If it’s a simple decision, don’t use excessive word like “moderately”",uncertainty_calibrated
2026-06-08T11:45:54.108634-07:00,7,7,6,None,6,6,1,1,7,7,7,7,7,Quick and straight to the point. Always seems logical ,Helpful,I assume AI will only get smarter or more elaborate itself as more time elapses ,minimal_explanation
2026-06-08T12:08:40.540869-07:00,4,6,5,Draft Project Report,7,1,7,5,6,7,7,7,7,,,,uncertainty_calibrated
2026-06-08T16:21:43.249518-07:00,5,3,3,Draft Project Report,4,3,5,5,5,5,7,5,5,Followed logic that was not foreign to me,Helpful,"Not sure exactly, I use as a guide and information gathering tool and organizing tool.  I view it as just another tool in the toolbox that I use every day.I also view it as much less intelligent than the human mind. Thus it is helpful but the decision is mine.",minimal_explanation
2026-06-09T09:09:34.148940-07:00,7,4,7,Reply to Emails,7,3,5,6,6,2,6,7,3,It was not trustworthy because it suggested an unusual recommendation of drafting project description.,The explanation was helpful.,,minimal_explanation
2026-06-09T14:35:46.484274-07:00,5,6,6,Reply to Emails,4,4,1,1,1,1,6,5,6,My understanding of AI is that it pulls material that is already existing online. Therefore it saves me time. I also find it to be trustworthy because I have not been provided false information thus far. ,"Yes, the table was helpful in displaying what tasks take priority.",It would’ve been nice to have a sentence or two above the table to help explain what the table is representing.,high_confidence
2026-06-09T22:28:10.979939-07:00,7,5,6,Review Course Module,7,6,1,1,1,1,4,7,1,clear and logical answer  made it feel trustworthy; mild confidence made me doubt it ,insufficient ,"if the ai went into some what if scenario reasoning - like there's another high priority task but i'm choosing this one because if you did that one first you might not have time for this one, wait it depends how long it takes",uncertainty_calibrated
2026-06-10T11:00:14.187901-07:00,7,4,6,Draft Project Report,6,2,1,1,1,1,1,1,1,It was not trustworthy but its decision concurred with mine and ,There was no explanation. ,An explanation. ,high_confidence
2026-06-10T22:12:55.399819-07:00,3,5,3,Draft Project Report,6,2,7,7,7,7,4,6,2,The answer was concise and agreed with the intuitive answer to the question.,"It felt appropriate for the scenario given, although a little more explanation could have been given.",,high_confidence
2026-06-11T17:54:11.453924-07:00,5,4,3,Draft Project Report,7,2,4,6,6,7,6,7,2,It explained the reasoning ,Helpful,,transparent_explanation
2026-06-12T16:40:35.619316-07:00,4,4,7,Review Course Module,4,1,4,4,3,4,1,3,4,"""Clearly"" is a red flag",Insufficient,More details in the context,high_confidence
