condition,baseline_ai_trust,trust_score,reliance_score,transparency_score,ux_score,followed_ai,decision_confidence
uncertainty_calibrated,5,5,5,6,4,yes,5
transparent_explanation,7,7,5,7,5,yes,5
high_confidence,3,5,6,4,4,no,7
transparent_explanation,6,6,5,7,6,yes,5
uncertainty_calibrated,6,5,4,4,5,yes,4
high_confidence,4,5,7,4,5,yes,6
high_confidence,7,6,6,4,4,yes,5
transparent_explanation,6,7,6,7,5,yes,5
uncertainty_calibrated,5,6,5,4,6,no,6
high_confidence,5,6,7,3,5,yes,7
uncertainty_calibrated,5,4,5,5,7,no,4
transparent_explanation,5,5,4,7,5,yes,5
high_confidence,4,6,6,3,5,no,5
minimal_explanation,3,3,4,2,4,yes,4
minimal_explanation,3,6,3,3,4,yes,3
minimal_explanation,3,5,4,1,3,yes,3
transparent_explanation,5,6,5,6,7,yes,6
high_confidence,6,6,7,3,6,yes,5
uncertainty_calibrated,5,5,5,4,6,yes,5
minimal_explanation,4,3,4,2,5,yes,3
high_confidence,5,6,6,5,7,yes,6
minimal_explanation,4,4,3,3,4,yes,4
uncertainty_calibrated,6,5,5,6,6,yes,6
transparent_explanation,6,5,6,7,6,yes,4
transparent_explanation,5,5,6,7,6,yes,4
high_confidence,4,4,6,4,5,no,7
high_confidence,6,6,6,4,7,yes,6
minimal_explanation,4,4,4,3,5,yes,4
minimal_explanation,3,2,3,4,3,yes,3
minimal_explanation,5,4,3,2,5,no,4
transparent_explanation,5,7,5,6,5,yes,5
uncertainty_calibrated,5,4,3,5,5,yes,5
high_confidence,5,3,7,4,6,yes,6
high_confidence,7,6,5,4,5,yes,7
uncertainty_calibrated,4,4,5,4,5,no,5
uncertainty_calibrated,5,4,6,6,5,no,6
uncertainty_calibrated,5,4,4,5,5,no,5
transparent_explanation,5,6,2,5,5,yes,4
high_confidence,5,6,7,4,6,no,6
minimal_explanation,5,4,2,4,4,no,5
transparent_explanation,6,7,4,7,5,yes,5
transparent_explanation,6,6,5,6,5,yes,6
transparent_explanation,6,6,5,6,5,yes,6
minimal_explanation,3,2,3,4,5,no,3
transparent_explanation,6,4,3,6,5,yes,5
transparent_explanation,6,6,5,7,5,yes,7
transparent_explanation,4,6,6,7,5,no,5
high_confidence,5,5,7,5,6,no,6
transparent_explanation,4,7,5,7,7,yes,4
uncertainty_calibrated,5,4,5,5,5,no,4
transparent_explanation,5,5,4,6,3,no,6
transparent_explanation,6,7,5,6,7,yes,6
uncertainty_calibrated,6,4,5,5,5,yes,4
minimal_explanation,2,3,3,3,4,yes,5
minimal_explanation,3,4,4,3,5,yes,4
high_confidence,5,5,7,3,5,no,6
transparent_explanation,6,6,6,6,6,no,6
high_confidence,5,5,5,4,5,yes,6
transparent_explanation,3,6,5,7,5,yes,7
transparent_explanation,7,7,5,6,4,yes,6
uncertainty_calibrated,5,6,5,5,5,no,3
transparent_explanation,4,6,5,6,4,yes,5
minimal_explanation,4,2,6,2,5,yes,3
minimal_explanation,5,3,6,2,4,yes,3
transparent_explanation,4,5,5,6,4,no,6
transparent_explanation,7,6,4,6,5,no,5
transparent_explanation,6,6,6,6,6,yes,5
high_confidence,6,4,6,5,4,yes,6
uncertainty_calibrated,4,5,4,5,6,yes,5
high_confidence,6,6,6,5,5,yes,5
minimal_explanation,5,5,3,2,4,yes,4
uncertainty_calibrated,5,5,5,5,5,yes,4
uncertainty_calibrated,5,6,5,5,6,no,5
uncertainty_calibrated,4,5,4,5,4,yes,4
transparent_explanation,7,6,5,6,6,yes,5
uncertainty_calibrated,5,4,4,6,6,no,6
minimal_explanation,5,4,3,4,4,no,3
minimal_explanation,5,4,4,2,4,yes,3
transparent_explanation,6,5,5,7,7,yes,6
minimal_explanation,3,2,5,2,3,no,4
uncertainty_calibrated,4,5,5,4,4,no,4
high_confidence,5,5,7,6,5,yes,6
transparent_explanation,6,7,5,6,5,no,7
high_confidence,6,5,6,4,6,yes,7
uncertainty_calibrated,6,5,6,5,5,yes,5
uncertainty_calibrated,6,5,5,4,7,yes,5
minimal_explanation,3,4,3,4,4,yes,3
uncertainty_calibrated,7,5,4,5,6,yes,5
transparent_explanation,5,5,4,4,6,yes,6
uncertainty_calibrated,5,5,3,5,5,no,6
high_confidence,4,4,7,4,7,no,5
uncertainty_calibrated,5,5,4,5,4,no,6
minimal_explanation,6,3,5,2,3,no,4
high_confidence,3,6,7,2,5,no,6
uncertainty_calibrated,4,6,5,6,6,yes,3
uncertainty_calibrated,5,5,5,4,5,yes,5
high_confidence,6,5,6,3,5,yes,6
transparent_explanation,6,5,6,6,5,yes,6
high_confidence,5,5,6,5,5,no,7
uncertainty_calibrated,6,5,5,6,7,yes,6
high_confidence,4,6,7,5,5,no,7
transparent_explanation,6,5,6,7,6,yes,6
transparent_explanation,7,6,5,7,5,yes,6
high_confidence,5,5,5,4,4,yes,5
transparent_explanation,6,7,5,7,4,yes,5
uncertainty_calibrated,5,5,7,5,6,yes,4
transparent_explanation,5,5,6,7,5,yes,5
minimal_explanation,3,4,2,4,3,no,4
minimal_explanation,5,4,5,3,4,no,4
minimal_explanation,4,4,4,2,3,no,5
high_confidence,6,5,7,2,6,yes,7
minimal_explanation,3,4,4,3,4,no,2
transparent_explanation,6,7,6,6,5,no,3
uncertainty_calibrated,5,6,4,6,7,no,5
uncertainty_calibrated,4,5,5,3,4,no,5
high_confidence,3,4,5,5,5,no,5
high_confidence,6,5,6,3,5,no,6
high_confidence,4,5,6,4,5,yes,7
uncertainty_calibrated,5,4,5,7,5,yes,4
transparent_explanation,6,6,4,6,7,yes,6
high_confidence,3,4,6,3,5,no,6
uncertainty_calibrated,5,4,4,4,5,yes,6
minimal_explanation,4,4,4,3,5,no,5
transparent_explanation,6,6,6,7,6,no,6
transparent_explanation,5,7,6,6,6,yes,5
high_confidence,5,6,6,4,4,yes,7
minimal_explanation,4,4,5,3,3,no,3
high_confidence,5,5,6,4,5,yes,6
transparent_explanation,5,7,6,7,5,no,5
uncertainty_calibrated,6,5,4,7,4,yes,3
uncertainty_calibrated,5,6,5,5,5,no,5
high_confidence,5,4,6,5,4,yes,7
uncertainty_calibrated,4,4,6,6,5,no,5
high_confidence,5,6,7,4,6,yes,6
uncertainty_calibrated,4,6,5,4,4,yes,5
minimal_explanation,3,3,3,3,4,no,5
minimal_explanation,6,3,4,3,5,no,5
minimal_explanation,3,3,4,2,5,no,5
minimal_explanation,5,3,3,2,5,yes,4
minimal_explanation,4,3,5,3,4,no,4
high_confidence,5,7,7,6,6,yes,6
uncertainty_calibrated,6,5,4,5,5,no,5
minimal_explanation,4,4,3,3,3,no,5
uncertainty_calibrated,4,5,4,5,6,no,5
transparent_explanation,6,7,6,7,7,yes,5
transparent_explanation,7,6,6,6,5,yes,6
uncertainty_calibrated,4,4,4,3,5,no,5
minimal_explanation,4,3,3,3,4,no,5
transparent_explanation,5,6,4,7,6,yes,5
transparent_explanation,5,6,5,7,5,yes,4
high_confidence,5,4,7,4,5,yes,5
uncertainty_calibrated,6,6,6,5,5,no,6
minimal_explanation,4,3,3,3,4,no,3
minimal_explanation,5,4,5,1,6,yes,4
minimal_explanation,4,3,4,2,4,yes,4
uncertainty_calibrated,5,4,5,7,6,no,5
minimal_explanation,4,3,4,3,5,yes,5
high_confidence,5,5,7,4,6,no,6
transparent_explanation,6,6,5,7,5,yes,6
uncertainty_calibrated,4,3,4,6,4,yes,5
minimal_explanation,4,3,4,2,4,no,5
minimal_explanation,2,5,3,1,5,no,6
minimal_explanation,5,4,4,4,4,no,5
transparent_explanation,5,7,5,7,5,yes,4
minimal_explanation,4,4,6,3,4,yes,3
transparent_explanation,5,6,5,6,5,yes,4
minimal_explanation,4,4,4,3,4,yes,2
transparent_explanation,6,7,5,7,6,yes,4
transparent_explanation,6,6,4,7,6,no,4
uncertainty_calibrated,4,5,4,7,4,no,5
high_confidence,7,3,6,3,5,yes,5
transparent_explanation,7,5,5,6,6,yes,5
high_confidence,6,5,7,5,6,yes,6
minimal_explanation,4,3,3,2,4,yes,3
transparent_explanation,6,6,6,5,5,yes,6
high_confidence,6,7,6,5,5,no,5
transparent_explanation,7,7,5,5,6,yes,5
minimal_explanation,5,4,3,2,5,no,4
high_confidence,6,4,7,5,4,yes,6
minimal_explanation,3,3,3,3,4,yes,4
minimal_explanation,4,3,4,4,3,no,5
transparent_explanation,6,6,6,6,6,no,5
minimal_explanation,4,4,4,3,4,yes,6
uncertainty_calibrated,7,5,4,5,3,yes,5
transparent_explanation,5,5,4,6,6,no,4
minimal_explanation,3,3,3,3,5,yes,5
uncertainty_calibrated,4,5,5,4,6,yes,6
uncertainty_calibrated,5,4,5,4,5,yes,4
minimal_explanation,3,4,3,2,4,no,3
high_confidence,4,5,5,3,6,yes,7
high_confidence,5,5,7,4,6,yes,7
transparent_explanation,5,6,3,7,4,yes,5
minimal_explanation,5,4,5,3,4,yes,4
minimal_explanation,3,4,3,4,5,yes,3
minimal_explanation,4,4,2,3,3,no,4
uncertainty_calibrated,4,5,5,6,5,yes,5
uncertainty_calibrated,6,5,3,5,5,no,5
uncertainty_calibrated,4,5,6,6,6,no,4
high_confidence,4,4,7,4,4,yes,6
high_confidence,6,6,7,4,4,yes,6
